from,to ,position,year_start,year_end,year_total,current,management,relation,region,,,,,,,,,,,,,,,,,
469,381,Chief Executive Officer,2017,2023,6,1,2,1,München,,,,,,,,,,,,,,,,,
475,5,Unternehmenszugehörigkeit,,,,,,,NA,,,,,,,,,,,,,,,,,
474,475,Betriebsrat,2006,2025,19,2,1,1,Sankt Leon-Rot,,,,,,,,,,,,,,,,,
474,5,Konzernbetriebsrat,2018,2025,7,2,1,1,Düsseldorf,,,,,,,,,,,,,,,,,
469,77,Industrial Science,NA,NA,NA,1,1,2,Freiburg,,,,,,,,,,,,,,,,,
209,9,Executive Vice President,2022,2025,3,2,2,1,München,,,,,,,,,,,,,,,,,
209,223,Marketing and Communications,2000,2001,1,1,1,2,FR,,,,,,,,,,,,,,,,,
209,438,Senior Vice President,2014,2019,5,1,2,1,Blagnac-FR,,,,,,,,,,,,,,,,,
227,9,Senior Vice President,2017,2025,8,2,2,1,Toulouse-FR,,,,,,,,,,,,,,,,,
282,7,Senior Executive ,2018,2020,2,1,1,1,NA,,,,,,,,,,,,,,,,,
293,294,NA,1995,2000,5,1,1,2,Grenoble-FR,,,,,,,,,,,,,,,,,
293,297,Managing Director,2010,2015,5,1,2,1,NA,,,,,,,,,,,,,,,,,
293,7,Senior Executive Role,2015,2025,10,2,1,1,NA,,,,,,,,,,,,,,,,,
228,9,Head of Sustainability and Communications,2022,2025,3,2,2,1,München,,,,,,,,,,,,,,,,,
230,9,Head of Space Systems,2024,2025,1,2,2,1,Toulouse-FR,,,,,,,,,,,,,,,,,
230,438,General Manager Airbus operations SAS,2014,2024,10,1,2,1,Toulouse-FR,,,,,,,,,,,,,,,,,
250,9,General Counsel,1998,2025,27,2,2,1,München,,,,,,,,,,,,,,,,,
250,265,Recht,NA,NA,NA,1,1,2,Konstanz,,,,,,,,,,,,,,,,,
295,9,Head of Digital,2023,2025,2,2,2,1,Toulouse-FR,,,,,,,,,,,,,,,,,
295,438,Head of Customer Digital Solutions,2020,2023,3,1,2,1,Toulouse-FR,,,,,,,,,,,,,,,,,
295,46,NA,NA,1992,NA,1,1,2,Palaiseau-FR,,,,,,,,,,,,,,,,,
306,9,Chief Operating Officer ,2024,2025,1,2,2,1,"Madrid-ESP, München",,,,,,,,,,,,,,,,,
306,438,President of Airbus in Spain,2024,2025,1,2,2,1,Madrid-ESP,,,,,,,,,,,,,,,,,
298,7,Board Member ,2020,2025,5,2,2,1,NA,,,,,,,,,,,,,,,,,
298,301,Executive Vice President Finance and Operations ,2017,2020,3,1,1,1,NA,,,,,,,,,,,,,,,,,
298,302,Chied Financial Officer ,2010,2017,7,1,1,1,NA,,,,,,,,,,,,,,,,,
298,303,Vice President Finance ,2005,2010,5,1,1,1,NA,,,,,,,,,,,,,,,,,
298,299,NA,1985,1990,5,1,1,2,NA,,,,,,,,,,,,,,,,,
304,46,NA,1978,1982,5,1,1,2,NA,,,,,,,,,,,,,,,,,
304,307,NA,1982,1984,2,1,1,2,NA,,,,,,,,,,,,,,,,,
304,7,Board Member ,2016,2025,11,2,2,1,NA,,,,,,,,,,,,,,,,,
304,309,Chief Operating Officer,2010,2012,2,1,1,1,NA,,,,,,,,,,,,,,,,,
304,310,Executive Vice President ,2008,2010,2,1,1,1,NA,,,,,,,,,,,,,,,,,
304,311,Senior Vice President,2005,2008,3,1,1,1,NA,,,,,,,,,,,,,,,,,
304,312,Vice President,2002,2005,3,1,1,1,NA,,,,,,,,,,,,,,,,,
304,313,Director of Strategy,1999,2002,3,1,1,1,NA,,,,,,,,,,,,,,,,,
304,314,General Manager,1996,1999,3,1,1,1,NA,,,,,,,,,,,,,,,,,
304,315,Project Manager ,1992,1996,4,1,1,1,NA,,,,,,,,,,,,,,,,,
304,316,Engineer ,1984,1992,8,1,1,1,NA,,,,,,,,,,,,,,,,,
317,7,Board Member ,2015,2025,10,2,2,1,NA,,,,,,,,,,,,,,,,,
317,256,NA,1975,1978,3,1,1,2,NA,,,,,,,,,,,,,,,,,
317,318,NA,1978,1981,3,1,1,2,NA,,,,,,,,,,,,,,,,,
317,321,Chairman and CEO ,2010,2015,5,1,2,1,NA,,,,,,,,,,,,,,,,,
317,322,Executive Vice President ,2005,2010,5,1,1,1,NA,,,,,,,,,,,,,,,,,
317,323,Senior Vice President,2000,2005,5,1,1,1,NA,,,,,,,,,,,,,,,,,
317,324,Managing Director,1995,2000,5,1,1,1,NA,,,,,,,,,,,,,,,,,
325,327,NA,1990,1993,3,1,1,2,NA,,,,,,,,,,,,,,,,,
325,328,NA,1993,1995,2,1,1,2,NA,,,,,,,,,,,,,,,,,
325,7,Board Member ,2021,2025,4,2,2,1,NA,,,,,,,,,,,,,,,,,
325,330,Chief Executive Officer,2019,2021,4,1,2,1,NA,,,,,,,,,,,,,,,,,
325,331,Executive Vice President,2015,2019,4,1,1,1,NA,,,,,,,,,,,,,,,,,
325,332,Senior Vice President,2010,2015,5,1,1,1,NA,,,,,,,,,,,,,,,,,
325,333,Managing Director,2005,2010,5,1,1,1,NA,,,,,,,,,,,,,,,,,
334,256,NA,1995,2000,5,1,1,2,NA,,,,,,,,,,,,,,,,,
334,7,Senior Executive Role,2020,2025,5,2,1,1,NA,,,,,,,,,,,,,,,,,
337,338,NA,1998,2003,5,1,1,2,NA,,,,,,,,,,,,,,,,,
337,1,Senior Executive Role,2021,2025,4,2,1,1,NA,,,,,,,,,,,,,,,,,
337,340,Vice President,2018,2021,4,1,1,1,NA,,,,,,,,,,,,,,,,,
337,341,Director of Strategy ,2015,2018,4,1,1,1,NA,,,,,,,,,,,,,,,,,
337,342,Trainee,2005,2005,1,1,1,1,NA,,,,,,,,,,,,,,,,,
36,29,Master of Science (M.Sc.): Executive Master of Accounting and Taxation(EMAT),2009,2011,2,1,1,2,NA,,,,,,,,,,,,,,,,,
36,41,Bachelor of Arts - BA: Hotel- und Gastronomiemanagement,2004,2007,3,1,1,2,NA,,,,,,,,,,,,,,,,,
36,273,Koch mit Zusatzqualifikation Küchen- und Servicemanager,2001,2004,3,1,1,2,NA,,,,,,,,,,,,,,,,,
36,347,"Consultant, Auditor & Wirtschaftsprüfer",2007,2012,4,1,1,1,NA,,,,,,,,,,,,,,,,,
36,348,Trainee & Consultant,2004,2007,3,1,1,1,NA,,,,,,,,,,,,,,,,,
11,28,"Diplom Informatiker, Softwaretechnik",1997,2002,6,1,1,2,Stuttgart,,,,,,,,,,,,,,,,,
11,28,Research Staff at the University of Stuttgart,2002,2004,2,1,1,1,NA,,,,,,,,,,,,,,,,,
11,1,CEO Thales Deutschland and Country Director Germany,2024,2025,1,2,2,1,NA,,,,,,,,,,,,,,,,,
11,2,Head of Division Spectrum Dominance & Airborne Solutions,2022,2023,1,1,1,1,NA,,,,,,,,,,,,,,,,,
11,2,Head of Engineering & Supply Chain Management SpectrumDominance & Airborne Solutions,2019,2022,2,1,1,1,NA,,,,,,,,,,,,,,,,,
11,2,Head of Strategic Transformation,2016,2019,3,1,1,1,NA,,,,,,,,,,,,,,,,,
11,2,various Management Positions,2006,2016,10,1,1,1,NA,,,,,,,,,,,,,,,,,
11,9,various Management Positions,2006,2016,10,1,1,1,NA,,,,,,,,,,,,,,,,,
11,275,Management Trainee Group DaimlerChrysler and IT System Architect,2004,2006,2,1,1,1,NA,,,,,,,,,,,,,,,,,
11,279,various Management Positions,2006,2016,10,1,1,1,NA,,,,,,,,,,,,,,,,,
306,35,Aerospace Vehicle Design,2000,2001,1,1,1,2,Cranfield-UK,,,,,,,,,,,,,,,,,
281,445,Chief Sales Officer,2023,2025,2,2,2,1,Oberndorf am Neckar,,,,,,,,,,,,,,,,,
276,8,Chief Space Business Officer,2023,2025,2,2,2,1,Rom-ITA,,,,,,,,,,,,,,,,,
276,8,Chief Technology and Innovation Officer,2022,2023,1,1,2,1,Rom-ITA,,,,,,,,,,,,,,,,,
276,275,Luftfahrtstechnik,NA,NA,NA,1,1,2,Mailand-ITA,,,,,,,,,,,,,,,,,
296,49,Business,1996,2001,5,1,1,2,Rom-ITA,,,,,,,,,,,,,,,,,
296,300,Health Care Organisation & Management,2002,2002,1,1,1,2,Mailand-ITA,,,,,,,,,,,,,,,,,
296,305,Junior Consultant,2002,2003,1,1,1,1,Rom-ITA,,,,,,,,,,,,,,,,,
296,49,Management,2009,2010,2,1,1,2,Rom-ITA,,,,,,,,,,,,,,,,,
296,8,Deputy Treasurer,2003,2005,2,1,1,1,Rom-ITA,,,,,,,,,,,,,,,,,
296,8,Internal Controller,2005,2006,1,1,1,1,Rom-ITA,,,,,,,,,,,,,,,,,
296,8,Manager at Investor Relations,2006,2013,8,1,1,1,Rom-ITA,,,,,,,,,,,,,,,,,
296,8,Head of Financial Communication,2014,2018,5,1,2,1,Rom-ITA,,,,,,,,,,,,,,,,,
296,8,Head of Investor Relations,2018,2025,7,2,2,1,Rom-ITA,,,,,,,,,,,,,,,,,
449,452,Unternehmenszugehörigkeit,,,,,,,NA,,,,,,,,,,,,,,,,,
454,452,Unternehmenszugehörigkeit,,,,,,,NA,,,,,,,,,,,,,,,,,
455,452,Unternehmenszugehörigkeit,,,,,,,NA,,,,,,,,,,,,,,,,,
308,9,Executive Vice-President Finance,2024,2025,1,2,2,1,Madrid-ESP,,,,,,,,,,,,,,,,,
308,326,Mechanical Engineering,NA,NA,NA,1,1,2,Saragossa-ESP,,,,,,,,,,,,,,,,,
308,335,Economics,NA,NA,NA,1,1,2,Rueil-Malmaison-FR,,,,,,,,,,,,,,,,,
339,118,Rechtswissenschaften,1978,1989,11,1,1,2,Frankfurt,,,,,,,,,,,,,,,,,
339,344,Rechtsanwalt,1984,1990,7,1,1,1,Frankfurt,,,,,,,,,,,,,,,,,
339,345,Syndikus,1990,1996,6,1,1,1,Frankfurt,,,,,,,,,,,,,,,,,
339,350,General Counsel,1996,2002,5,1,1,1,Frankfurt,,,,,,,,,,,,,,,,,
339,350,Vorstand,2002,2014,12,1,2,1,Frankfurt,,,,,,,,,,,,,,,,,
339,351,Senior Advisor,2015,2016,2,1,1,1,Berlin,,,,,,,,,,,,,,,,,
339,455,Chief Representative Global legal & Compliance,2016,2017,1,1,2,1,Bremen,,,,,,,,,,,,,,,,,
339,455,Aufsichtsratsmitglied,2018,2019,1,1,1,1,Bremen,,,,,,,,,,,,,,,,,
339,449,Executive Advisor,2017,2019,2,1,1,1,Kiel,,,,,,,,,,,,,,,,,
339,352,Mitglied Verwaltungsrat,2019,2021,2,1,1,1,Bülach,,,,,,,,,,,,,,,,,
339,353,Dozent,2005,2025,20,2,1,1,Krems,,,,,,,,,,,,,,,,,
339,445,Vorsitzender Aufsichtsrat,2020,2025,5,2,1,1,Oberndorf am Neckar,,,,,,,,,,,,,,,,,
350,345,Unternehmenszugehörigkeit,,,,,,,NA,,,,,,,,,,,,,,,,,
346,2,Aufsichtsratsmitglied,2017,2025,8,2,2,1,Taufkirchen,,,,,,,,,,,,,,,,,
346,381,Executive Vice President,2010,2012,2,1,2,1,Brande,,,,,,,,,,,,,,,,,
346,381,Associate Vice President,2002,2005,3,1,2,1,Bocholt,,,,,,,,,,,,,,,,,
406,445,Aufsichtsratsmitglied,2020,2025,5,2,1,1,Bremen,,,,,,,,,,,,,,,,,
406,118,Rechtswissenschaften,NA,NA,NA,1,1,2,Frankfurt,,,,,,,,,,,,,,,,,
406,354,Partnerin,2024,2025,1,2,1,1,Frankfurt,,,,,,,,,,,,,,,,,
406,476,Partnerin,2012,2024,12,1,1,1,Frankfurt,,,,,,,,,,,,,,,,,
406,477,Associate und Local Partner,1999,2006,7,1,1,1,Frankfurt,,,,,,,,,,,,,,,,,
406,477,Partnerin,2006,2012,6,1,1,1,Frakfurt,,,,,,,,,,,,,,,,,
478,2,"Aufsichtsratmitglied, Aufsichtsratsvorsitzender",2022,2025,3,2,2,1,Taufkirchen,,,,,,,,,,,,,,,,,
478,381,NA,1985,2001,16,1,1,1,Bocholt,,,,,,,,,,,,,,,,,
478,480,Betriebswirtschaftslehre,NA,NA,NA,1,1,2,Marburg,,,,,,,,,,,,,,,,,
479,445,Aufsichtsratmitglied,2015,2025,10,2,1,1,Bremen,,,,,,,,,,,,,,,,,
479,256,Corporate Governance,2011,2012,1,1,1,2,Fontainebleau,,,,,,,,,,,,,,,,,
481,2,Aufsichtsratmitglied,2023,2025,2,2,1,1,Taufkirchen,,,,,,,,,,,,,,,,,
481,8,"Senior Vice President, Boardmitglied Leonardo International",NA,2025,NA,2,2,1,Rom-ITA,,,,,,,,,,,,,,,,,
481,483,Elektroingenieur,NA,NA,NA,1,1,2,Turin,,,,,,,,,,,,,,,,,
482,8,Vorsitzender,2023,2025,2,2,1,1,Rom-ITA,,,,,,,,,,,,,,,,,
484,49,Politikwissenschaften,NA,1999,NA,1,1,2,Rom-ITA,,,,,,,,,,,,,,,,,
484,486,Abgeordneter,2014,2025,11,2,1,1,Rom-ITA,,,,,,,,,,,,,,,,,
484,487,Vorsitzender,2018,2025,7,2,1,1,Rom-ITA,,,,,,,,,,,,,,,,,
484,8,Aufsichtsratmitglied,2023,2025,2,2,1,1,Rom-ITA,,,,,,,,,,,,,,,,,
485,91,Pressesprecher BW,2022,2025,3,2,1,1,Stuttgart,,,,,,,,,,,,,,,,,
485,2,Aufsichtsratmitglied,2020,2025,5,2,1,1,Taufkirchen,,,,,,,,,,,,,,,,,
485,488,Europäische Wirtschaftsintegration,NA,NA,NA,1,1,2,Leipzig,,,,,,,,,,,,,,,,,
343,256,Business Administration,NA,NA,NA,1,1,2,Fontainebleu-FR,,,,,,,,,,,,,,,,,
343,349,Mechanical Engineering,NA,NA,NA,1,1,2,Genua-ITA,,,,,,,,,,,,,,,,,
343,489,Senior Partner,1987,2020,33,1,1,1,Chicago-USA,,,,,,,,,,,,,,,,,
343,491,Managing Partner,2020,2025,5,2,1,1,Mailand-ITA,,,,,,,,,,,,,,,,,
343,8,Lead Independent Director,2023,2025,2,2,1,1,Rom-ITA,,,,,,,,,,,,,,,,,
384,490,Director Human Resources,2009,2013,4,1,2,1,NA,,,,,,,,,,,,,,,,,
384,492,Head of Human Resources,2005,2009,4,1,2,1,NA,,,,,,,,,,,,,,,,,
402,4,Finanz-Ressort,1999,2011,12,1,1,1,München,,,,,,,,,,,,,,,,,
402,4,Leiter Investor Relations,2011,2014,3,1,1,1,München,,,,,,,,,,,,,,,,,
402,4,Leiter Unternehmensentwicklung und M&A,2014,2014,1,1,1,1,München,,,,,,,,,,,,,,,,,
402,4,Leiter Controlling,2015,2015,1,1,1,1,München,,,,,,,,,,,,,,,,,
402,4,Leiter Finanzen,2016,2017,1,1,1,1,München,,,,,,,,,,,,,,,,,
402,4,Vorstand,2018,2025,7,2,2,1,München,,,,,,,,,,,,,,,,,
384,42,"Diplom, Staatswissenschaften",1991,1995,4,1,1,2,München,,,,,,,,,,,,,,,,,
494,495,Rechtswissenschaften,NA,NA,NA,1,1,2,Bologna-ITA,,,,,,,,,,,,,,,,,
494,496,Managing Director,2005,NA,NA,1,1,1,Rom-ITA,,,,,,,,,,,,,,,,,
494,8,Aufsichtsratsmitglied,2023,2025,2,2,1,1,Rom-ITA,,,,,,,,,,,,,,,,,
403,152,Fabrikplanung und Produktionsstrategie,1997,2004,7,1,1,1,München,,,,,,,,,,,,,,,,,
403,152,Leiterin Personalplanung Produktionsressort,2005,NA,NA,1,1,1,München,,,,,,,,,,,,,,,,,
403,152,Leiterin Personalpolitik und Personalstrategie,2008,NA,NA,1,1,1,München,,,,,,,,,,,,,,,,,
403,152,Prototypenbau und Testbetrieb,2010,NA,NA,1,1,1,Varese-ITA,,,,,,,,,,,,,,,,,
403,152,Leiterin Industrialisierung und Produktion,2013,2017,4,1,1,1,München,,,,,,,,,,,,,,,,,
403,405,Leiterin Corporate Quality Management,2017,NA,NA,1,1,1,München,,,,,,,,,,,,,,,,,
403,405,Leiterin Corporate Technology and Innovation,2018,NA,NA,1,2,1,München,,,,,,,,,,,,,,,,,
403,497,Aufsichtsrat,2018,2025,7,2,1,1,München,,,,,,,,,,,,,,,,,
403,405,Chief Operating Officer,2019,2022,3,1,2,1,München,,,,,,,,,,,,,,,,,
403,498,Vorstand,2022,NA,NA,1,2,1,München,,,,,,,,,,,,,,,,,
403,4,Vorstand,2023,2025,2,2,2,1,München,,,,,,,,,,,,,,,,,
403,44,NA,NA,NA,NA,1,1,2,München,,,,,,,,,,,,,,,,,
403,35,Promotion,NA,NA,NA,1,1,2,Cranfield-UK,,,,,,,,,,,,,,,,,
408,409,NA,1984,1988,4,1,1,2,Kempten,,,,,,,,,,,,,,,,,
408,4,Chief Program Officer,2013,2025,12,2,2,1,München,,,,,,,,,,,,,,,,,
408,4,Senior VP Military Programs,2008,2013,5,1,1,1,München,,,,,,,,,,,,,,,,,
408,4,Program Director,2005,2007,2,1,1,1,München,,,,,,,,,,,,,,,,,
410,411,Elektroingenieur,1977,1982,5,1,1,1,Royal Oak-USA,,,,,,,,,,,,,,,,,
410,412,Geschäftsführer,1982,2000,18,1,2,1,Augsburg,,,,,,,,,,,,,,,,,
410,413,Vorstandsvorsitzender,2000,2007,7,1,2,1,Köln,,,,,,,,,,,,,,,,,
385,499,Business Administration,2008,2009,1,1,1,2,St. Gallen-CHE,,,,,,,,,,,,,,,,,
385,397,"Ph.D., Mechanical Engineering",2001,2003,2,1,1,2,Aachen,,,,,,,,,,,,,,,,,
385,500,Head of quality management and optical measurement technology,1998,2003,5,1,1,1,Aachen,,,,,,,,,,,,,,,,,
385,502,Manager,2003,2004,1,1,1,1,NA,,,,,,,,,,,,,,,,,
385,502,Operations Manager,2004,2006,2,1,1,1,NA,,,,,,,,,,,,,,,,,
385,502,Head of strategic projects,2007,2008,2,1,1,1,NA,,,,,,,,,,,,,,,,,
385,506,Manager,2008,2011,2,1,1,1,NA,,,,,,,,,,,,,,,,,
385,506,Managing Director,2011,2012,1,1,1,1,NA,,,,,,,,,,,,,,,,,
385,508,Managing Director,2013,2016,3,1,1,1,NA,,,,,,,,,,,,,,,,,
385,508,Managing Director,2015,2016,1,1,1,1,Shanghai-CN,,,,,,,,,,,,,,,,,
385,257,Vorstand,2019,2025,6,2,2,1,NA,,,,,,,,,,,,,,,,,
385,510,Deputy Chairman of the Advisory Board,2020,2025,5,2,2,1,NA,,,,,,,,,,,,,,,,,
385,6,Member of the Division Board,2017,2018,1,1,2,1,NA,,,,,,,,,,,,,,,,,
385,6,President of the Division Board,2018,2025,7,2,2,1,NA,,,,,,,,,,,,,,,,,
385,6,Member of the Executive Board,2018,2025,7,2,2,1,NA,,,,,,,,,,,,,,,,,
410,414,Vorstandsvorsitzender,2007,2021,14,1,2,1,Frankfurt am Main,,,,,,,,,,,,,,,,,
410,4,Aufsichtsrat,2022,2026,4,2,1,1,München,,,,,,,,,,,,,,,,,
415,4,Aufsichtrat,1980,2028,45,2,1,1,München,,,,,,,,,,,,,,,,,
415,4,Freigestellter Betriebsrat,2002,2025,23,2,1,1,München,,,,,,,,,,,,,,,,,
415,4,Konzernbetriebsrat,2004,2025,21,2,1,1,München,,,,,,,,,,,,,,,,,
415,4,Betriebsratsvorsitzender,2016,2025,9,2,1,1,München,,,,,,,,,,,,,,,,,
415,4,Konzernbetriebsratsvorsitzender,2016,2025,9,2,1,1,München,,,,,,,,,,,,,,,,,
416,417,Banklehre,1986,1988,2,1,1,2,München,,,,,,,,,,,,,,,,,
416,169,NA,1988,1994,6,1,1,2,München,,,,,,,,,,,,,,,,,
416,509,Projektleiterin,1994,1996,2,1,1,2,München,,,,,,,,,,,,,,,,,
416,418,Projektverantwortliche Electronic Commerce,1996,1997,1,1,1,1,München,,,,,,,,,,,,,,,,,
416,419,Senior Consultant,1997,1998,1,1,1,1,München,,,,,,,,,,,,,,,,,
416,420,Stellvertretende Geschäftsführerin,1998,2000,2,1,1,1,München,,,,,,,,,,,,,,,,,
416,420,Vorstandsvorsitzender,2000,2012,12,1,2,1,München,,,,,,,,,,,,,,,,,
501,503,Business Administration ,1996,1998,2,1,1,2,New York-USA,,,,,,,,,,,,,,,,,
501,504,Co-Chair Photography Acquisition Group,2022,2025,3,2,1,1,London-UK,,,,,,,,,,,,,,,,,
501,505,Non Executive Chair,2023,2025,2,2,1,1,London-UK,,,,,,,,,,,,,,,,,
501,8,Non Executive Director,2023,2025,2,2,1,1,Rom-ITA,,,,,,,,,,,,,,,,,
501,8,Aufsichtsratsmitglied,2023,2025,2,2,1,1,Rom-ITA,,,,,,,,,,,,,,,,,
416,511,Geschäftsführende Vorständin,2012,2024,12,1,1,1,München,,,,,,,,,,,,,,,,,
416,4,Aufsichtsrat,2018,2027,9,2,1,1,München,,,,,,,,,,,,,,,,,
422,397,NA,1989,1997,8,1,1,2,Aachen,,,,,,,,,,,,,,,,,
422,423,Entwicklungsingenieur,1998,1999,1,1,1,1,Mannheim,,,,,,,,,,,,,,,,,
422,112,Projektingenieur Sales,1999,2001,2,1,1,1,Hamburg,,,,,,,,,,,,,,,,,
422,112,Director Sales Asia-Pacific,2001,2005,4,1,1,1,SGP,,,,,,,,,,,,,,,,,
422,112,Vice President Marketing,2005,2006,1,1,1,1,Hamburg,,,,,,,,,,,,,,,,,
422,112,Geschäftsbereichsleiter Component,2007,2011,4,1,1,1,Hamburg,,,,,,,,,,,,,,,,,
422,112,Geschäftsbereichsleiter Triebwerke,2011,2012,1,1,1,1,Hamburg,,,,,,,,,,,,,,,,,
422,112,Vorstand,2012,2015,3,1,2,1,Hamburg,,,,,,,,,,,,,,,,,
422,112,Vorstandsvorsitzender,2015,2022,7,1,2,1,Hamburg,,,,,,,,,,,,,,,,,
507,8,Aufsichtsratsmitglied,2023,2025,2,2,1,1,Rom-ITA,,,,,,,,,,,,,,,,,
507,8,Director,2023,2025,2,2,1,1,Rom-ITA,,,,,,,,,,,,,,,,,
422,425,Vorstandsvorsitzender,2023,2025,2,2,2,1,München,,,,,,,,,,,,,,,,,
422,4,Aufsichtsrat,2024,2028,4,2,1,1,München,,,,,,,,,,,,,,,,,
428,4,Zeitmitarbeiter,1998,1999,1,1,1,1,Hannover,,,,,,,,,,,,,,,,,
428,4,Airfoil Befund,1999,2025,26,2,1,1,Hannover,,,,,,,,,,,,,,,,,
428,4,Betriebsrat,2010,2025,15,2,1,1,Hannover,,,,,,,,,,,,,,,,,
428,4,Betriebsratsvorsitzender,2018,2025,7,2,1,1,Hannover,,,,,,,,,,,,,,,,,
428,4,Stellv. Konzernbetriebsratsvorsitzender,2022,2025,3,2,1,1,Hannover,,,,,,,,,,,,,,,,,
428,4,Aufsichtsrat,2023,2028,5,2,1,1,München,,,,,,,,,,,,,,,,,
429,77,NA,2003,2008,5,1,1,2,Freiburg,,,,,,,,,,,,,,,,,
429,512,NA,2003,2008,5,1,1,2,Basel-CHE,,,,,,,,,,,,,,,,,
429,458,NA,2011,2013,2,1,NA,1,München,,,,,,,,,,,,,,,,,
429,91,NA,2013,2025,12,2,NA,1,München,,,,,,,,,,,,,,,,,
429,91,Mitglied der Geschäftsführung,2022,2025,3,2,2,1,München,,,,,,,,,,,,,,,,,
429,4,Aufsichtsrat,2022,2028,6,2,1,1,München,,,,,,,,,,,,,,,,,
430,44,NA,1987,1999,12,1,1,2,München,,,,,,,,,,,,,,,,,
430,513,NA,1987,1999,12,1,1,2,Nürnberg,,,,,,,,,,,,,,,,,
430,514,Promotion,1987,1999,12,1,1,2,Braunschweig,,,,,,,,,,,,,,,,,
386,6,Bereichsvorstand,2016,2021,5,1,2,1,NA,,,,,,,,,,,,,,,,,
386,6,Chief Executive Officer,2021,2025,4,2,2,1,NA,,,,,,,,,,,,,,,,,
387,6,Vorstand,2020,2025,5,2,2,1,NA,,,,,,,,,,,,,,,,,
388,6,Chief Executive Officer,2019,2025,6,2,2,1,NA,,,,,,,,,,,,,,,,,
430,4,Teamleitung Produktion Beschichtungstechnik,1998,2001,3,1,1,1,München,,,,,,,,,,,,,,,,,
430,4,Teamleitung Produktion Serienprüfstände,2001,2007,6,1,1,1,München,,,,,,,,,,,,,,,,,
430,330,Leiter Produktion ,2008,2010,2,1,1,1,Madrid,,,,,,,,,,,,,,,,,
430,4,Gesamtprojektleitung Werkstoffindustrialisierung,2011,2015,4,1,1,1,München,,,,,,,,,,,,,,,,,
430,4,Aufsichtsrat,2023,2028,5,2,1,1,München,,,,,,,,,,,,,,,,,
431,515,Ausbildung,1980,1982,2,1,1,2,München,,,,,,,,,,,,,,,,,
431,4,Chemotechnikerin,1983,2002,19,1,1,1,München,,,,,,,,,,,,,,,,,
431,4,betriebswirtschaftliche Sachbearbeiterin,2002,2006,4,1,1,1,München,,,,,,,,,,,,,,,,,
431,4,Programmkauffrau,2006,2016,10,1,1,1,München,,,,,,,,,,,,,,,,,
431,4,Aufsichtsrat,2018,2025,7,2,1,1,München,,,,,,,,,,,,,,,,,
432,517,NA,1986,1991,5,1,1,2,Hannover,,,,,,,,,,,,,,,,,
432,9,Leiter Produktionslogistik,1991,NA,NA,1,1,1,München,,,,,,,,,,,,,,,,,
388,6,Chief Procurement Officer,2011,2017,6,1,2,1,NA,,,,,,,,,,,,,,,,,
388,6,Vorstand Diehl Stiftung,2019,2025,6,2,2,1,NA,,,,,,,,,,,,,,,,,
388,6,Bereichsvorstand,2015,2019,4,1,2,1,NA,,,,,,,,,,,,,,,,,
388,6,Chief Procurement Officer,2017,2019,3,1,2,1,NA,,,,,,,,,,,,,,,,,
516,2,Aufsichtsratsmitglied,2020,2025,5,2,1,1,Taufkirchen,,,,,,,,,,,,,,,,,
432,4,Leiter Center Turbinenschaufeln,1997,2025,28,1,1,1,München,,,,,,,,,,,,,,,,,
516,9,NA,2006,2017,11,1,NA,1,NA,,,,,,,,,,,,,,,,,
432,9,Werk- und Standortleiter,2002,NA,NA,1,1,1,Bremen,,,,,,,,,,,,,,,,,
432,4,Vorstand Technik,2006,2017,11,1,1,1,München,,,,,,,,,,,,,,,,,
432,4,Aufsichtsrat,2021,2025,4,2,1,1,München,,,,,,,,,,,,,,,,,
433,518,NA,2008,2013,5,1,1,2,Gießen,,,,,,,,,,,,,,,,,
433,519,Rechtsschutzsekretärin,2016,2022,6,1,1,1,NA,,,,,,,,,,,,,,,,,
433,91,Gewerkschaftssekretärin,2022,2025,3,2,1,1,NA,,,,,,,,,,,,,,,,,
433,4,Aufsichtsrat,2023,2028,5,2,1,1,München,,,,,,,,,,,,,,,,,
520,2,Aufsichtsratsmitglied,2023,20,3,2,1,1,Taufkirchen,,,,,,,,,,,,,,,,,
520,59,Board Member,2017,2022,5,1,2,1,Wolfsburg,,,,,,,,,,,,,,,,,
434,521,NA,1987,1991,4,1,1,2,Sigmaringen,,,,,,,,,,,,,,,,,
520,117,Aufsichtsratsmitglied,2017,2022,5,1,1,1,Ingolstadt,,,,,,,,,,,,,,,,,
520,56,Aufsichtsratsmitglied,2018,2021,3,1,1,1,Stuttgart,,,,,,,,,,,,,,,,,
520,152,Head of Corporate Audit Financial Services,2008,2011,3,1,2,1,München,,,,,,,,,,,,,,,,,
520,441,"Mathematics, IT and Statistics in Business",1985,1989,4,1,1,2,Halle,,,,,,,,,,,,,,,,,
525,2,Aufsichtsratsmitglied,2020,2025,5,2,1,1,Taufkirchen,,,,,,,,,,,,,,,,,
389,523,Geschäftsführer,1994,1998,4,1,1,1,NA,,,,,,,,,,,,,,,,,
389,9,Development Engineer,1999,2001,2,1,2,1,Bremen,,,,,,,,,,,,,,,,,
389,9,Team Leader,2001,2003,2,1,2,1,Hamburg,,,,,,,,,,,,,,,,,
389,9,Route 06 Customisation Domain PMO,2003,2004,1,1,2,1,Hamburg,,,,,,,,,,,,,,,,,
389,9,Senior Manager,2004,2006,2,1,2,1,Hamburg,,,,,,,,,,,,,,,,,
389,541,Vorstandsvorsitzender,2011,2017,6,1,2,1,Buxtehude,,,,,,,,,,,,,,,,,
