from,to ,position,year_start,year_end,year_total,current,management,relation,region,,,,,,,,,,,,,,,,,
66,68,Student,1996,1999,3,1,1,2,Ulm,,,,,,,,,,,,,,,,,
66,69,Student,1991,1996,5,1,1,2,Berlin,,,,,,,,,,,,,,,,,
70,5,Chief Financial Officer,2024,2025,0,2,2,1,NA,,,,,,,,,,,,,,,,,
71,70,Unternehmenszugehörigkeit,,,,,,,NA,,,,,,,,,,,,,,,,,
70,71,Chief Financial Officer,2024,2025,0,2,2,1,NA,,,,,,,,,,,,,,,,,
70,5,Head of Corporate Finance,2023,2024,1,1,1,1,NA,,,,,,,,,,,,,,,,,
70,72,Vize-Präsident ,2023,2023,0,1,1,1,NA,,,,,,,,,,,,,,,,,
70,73,Head of Accounting,2020,2022,2,1,1,1,NA,,,,,,,,,,,,,,,,,
70,74,Head of Accounting,2017,2020,2,1,1,1,NA,,,,,,,,,,,,,,,,,
70,75,Head of Corporate Internal Audit,2016,2017,1,1,1,1,NA,,,,,,,,,,,,,,,,,
70,76,Senior Manager ,1996,2016,20,1,1,1,NA,,,,,,,,,,,,,,,,,
70,77,Student,NA,NA,NA,1,1,2,Freiburg-SUI,,,,,,,,,,,,,,,,,
78,65,Chief Operating Officer,2025,2025,0,2,2,1,Augsburg,,,,,,,,,,,,,,,,,
78,79,Chief Executive Officer,2019,2024,4,1,2,1,"Stuttgart, Graz",,,,,,,,,,,,,,,,,
78,80,Chief Operating Officer,2015,2019,4,1,2,1,Affalterbach,,,,,,,,,,,,,,,,,
78,67,Director,2010,2015,6,1,1,1,Sindelfingen,,,,,,,,,,,,,,,,,
78,81,Chief Executive Officer,2006,2007,1,1,2,1,Kaufering,,,,,,,,,,,,,,,,,
78,67,Senior Manager,2000,2006,6,1,1,1,Sindelfingen,,,,,,,,,,,,,,,,,
78,67,Manager,1998,2000,3,1,1,1,Sindelfingen,,,,,,,,,,,,,,,,,
78,45,Student,1993,1998,6,1,1,2,Karlsruhe,,,,,,,,,,,,,,,,,
78,45,Student,1989,1993,4,1,1,2,Karlsruhe,,,,,,,,,,,,,,,,,
82,83,Managing Partner,2007,2025,18,2,1,1,Frankfurt am Main,,,,,,,,,,,,,,,,,
82,84,Investment Professional,2004,2007,3,1,1,1,London-UK,,,,,,,,,,,,,,,,,
82,85,Analyst,2001,2004,3,1,1,1,London-UK,,,,,,,,,,,,,,,,,
82,86,Student,1997,1999,2,1,1,2,Reutlingen,,,,,,,,,,,,,,,,,
82,87,Student,1999,2001,2,1,1,2,Dublin-IRE,,,,,,,,,,,,,,,,,
82,65,Aufsichtsrat,2023,2025,2,2,1,1,Augsburg,,,,,,,,,,,,,,,,,
89,65,Unternehmenszugehörigkeit,,,,,,,NA,,,,,,,,,,,,,,,,,
88,71,Ausbildung,1981,1985,4,1,1,1,NA,,,,,,,,,,,,,,,,,
88,71,Operator,1985,2014,19,1,1,1,NA,,,,,,,,,,,,,,,,,
88,71,Stellvertretender Vorsitzender des Betriebsrats,2014,2018,4,1,1,1,NA,,,,,,,,,,,,,,,,,
88,71,Vorsitzender des Betriebsrats,2018,2025,7,2,1,1,NA,,,,,,,,,,,,,,,,,
88,71,Mitglied des Betriebsrats,1998,2014,16,1,1,1,NA,,,,,,,,,,,,,,,,,
89,90,Student,2002,2006,4,1,1,2,Hamburg,,,,,,,,,,,,,,,,,
