id,name,gender,origin,type,nationality,study,education,revenue
259,Ipsen,0,1929,1,FR,NA,NA,NA
260,Faiveley Transport,0,1919,1,FR,NA,NA,NA
261,Pacte PME,0,2010,1,FR,NA,NA,NA
262,Dell Technologies,0,1984,1,US,NA,NA,NA
263,Nortel,0,1895,1,FR,NA,NA,NA
264,Monique Cohen,2,1956,3,FR,NA,NA,NA
265,Universität Konstanz,0,NA,4,DE,NA,NA,NA
266,Seven2,0,2023,1,FR,NA,NA,NA
267,Hermés,0,1837,1,FR,NA,NA,NA
268,BNP Parisbas,0,2000,1,FR,NA,NA,NA
269,JCDecaux,0,1964,1,FR,NA,NA,NA
270,Autorité des Marchés Financiers (AMF),0,2003,1,FR,NA,NA,NA
271,Paribas,0,1872,1,FR,NA,NA,NA
272,Bernhard Gerwert,1,1953,3,DE,NA,NA,NA
273,Hotel Traube Tonbach,0,NA,1,DE,NA,NA,NA
274,Daimler AG,0,1926,1,DE,NA,NA,NA
275,Polytechnische Universität Mailand,0,1863,4,IT,NA,NA,NA
276,Franco Ongaro,1,NA,3,IT,Ingenieurwesen,NA,NA
277,EADS Defence & Security,0,2003,2,NA,NA,NA,NA
278,EADS,0,1999,2,DE,NA,NA,NA
279,EADS Defence Electronic,0,2003,2,DE,NA,NA,NA
280,Celine Fornaro,2,NA,3,FR,"Finanzen,Betriebswirtschaftslehre",NA,NA
281,Marco Geißinger,1,NA,3,DE,NA,NA,NA
282,Government Shareholding Agency (Agence des participations de l'État - APE),0,2004,1,FR,NA,NA,NA
283,Air France-KLM,0,2004,1,FR,NA,NA,NA
284,ENGIE,0,2008,1,FR,NA,NA,NA
285,Orange,0,1994,1,FR,NA,NA,NA
286,RATPgroup,0,1948,1,FR,NA,NA,NA
287,EDF,0,1946,1,FR,NA,NA,NA
288,"UBS Securities Co., Ltd",0,2006,1,FR,NA,NA,NA
289,Bank of America Merrill Lynch,0,2009,1,FR,NA,NA,NA
290,Embraer,0,1969,1,FR,NA,NA,NA
291,École Nationale de l'Aviation Civile,0,1997,3,FR,NA,NA,NA
292,Offizierschule der Luftwaffe Bundeswehr,0,1956,8,DE,NA,NA,NA
293,Ivan Hardouin,1,NA,3,FR,NA,NA,NA
294,Grenoble School of Management,0,NA,3,FR,NA,NA,NA
295,Lionel Rouby,1,1974,3,FR,NA,NA,NA
296,Valeria Ricciotti,2,NA,3,IT,"Gesundheitswesen,Wirtschaftswissenschaften",NA,NA
297,Sidel,0,NA,1,FR,NA,NA,NA
298,Fabienne Lecorvaisier,2,1962,3,FR,NA,NA,NA
299,École Nationale des Ponts et Chaussées,0,NA,3,FR,NA,NA,NA
300,Katholische Universität Mailand,0,NA,4,IT,NA,NA,NA
301,Sanofi,0,NA,1,FR,NA,NA,NA
302,Wendel,0,NA,1,FR,NA,NA,NA
303,Air Liquide,0,NA,1,FR,NA,NA,NA
304,Patrick Pelata,1,1955,3,FR,NA,NA,NA
305,Gemelli-Klinik,0,NA,8,IT,NA,NA,NA
306,Francisco Javier Sánchez Segura,1,NA,3,ES,Ingenieurwesen,2,NA
307,École des Hautes Études en Sciences Sociales,0,NA,3,FR,NA,3,NA
308,Jesús de Miguel Rodriguez,1,NA,3,ES,"Ingenieurwesen,Wirtschaftswissenschaften",2,NA
309,Académie des technologies,0,NA,4,FR,NA,NA,NA
310,Vulog,0,NA,1,FR,NA,NA,NA
311,Orano,0,NA,1,FR,NA,NA,NA
312,Meta Consulting LLC,0,NA,1,US,NA,NA,NA
313,Salesforce,0,NA,1,US,NA,NA,NA
314,Renault-Nissan BV,0,NA,1,NL,NA,NA,NA
315,Renault,0,NA,1,FR,NA,NA,NA
316,"Nissan Motor Co., Ltd.",0,NA,1,JP,NA,NA,NA
317,Robert Peugeot,1,1950,3,FR,NA,NA,NA
318,École Centrale Paris,0,NA,3,FR,NA,NA,NA
319,Raketenschule der Luftwaffe,0,1964,8,US,NA,NA,NA
320,NATO Programming Centre,0,1970,8,BE,NA,NA,NA
321,Peugeot Invest,0,NA,1,FR,NA,NA,NA
322,Stellantis,0,NA,1,NL,NA,NA,NA
323,PSA Peugeot Citroën,0,NA,1,FR,NA,NA,NA
324,Faurecia,0,NA,1,FR,NA,NA,NA
325,Laurent Guillot,1,1969,3,FR,NA,NA,NA
326,Zaragoza University,0,NA,4,ES,NA,NA,NA
327,École des Ponts ParisTech,0,NA,3,FR,NA,NA,NA
328,Université Paris I Panthéon-Sorbonne,0,NA,3,FR,NA,NA,NA
329,Bundesministerium der Verteidigung,0,1955,8,DE,NA,NA,NA
330,Europrop International GmbH,0,2002,1,DE,NA,NA,NA
331,Saint-Gobain,0,NA,1,FR,NA,NA,NA
332,"Cabinet du Ministre de l'Equipement, des Transports et du Logement",0,NA,1,FR,NA,NA,NA
333,"Ministère de l’Économie, des Finances et de la Souveraineté industrielle et numérique",0,NA,1,FR,NA,NA,NA
334,Anne-Sophie Aubert,2,1971,3,FR,NA,NA,NA
335,École Nationale Supérieure du Pétrole et des Moteurs,0,NA,4,FR,NA,NA,NA
336,Frequentis Defence Inc.,0,1947,2,AT,NA,NA,NA
337,Anusch Arezki,2,NA,3,DE,NA,3,NA
338,École Nationale Supérieure de Chimie de Paris (Chimie-ParisTech),0,NA,3,FR,NA,3,NA
339,Rainer Runte,1,1967,6,DE,Rechtswissenschaften,3,NA
340,TETEC AG,0,NA,1,DE,NA,NA,NA
341,CLINACT,0,1996,1,FR,NA,NA,NA
342,sarastro GmbH,0,NA,1,DE,NA,NA,NA
343,Giancarlo Ghislanzoni,1,1960,6,IT,"Betriebswirtschaftslehre,Ingenieurwesen",2,NA
344,Anwaltskanzlei Heyn Zorn Toelle,0,1948,1,DE,NA,NA,NA
345,Fresenius Group,0,1912,1,DE,NA,NA,NA
346,Ingrid Jägering,2,1966,6,DE,NA,NA,NA
347,Deloitte & Touche GmbH,0,NA,1,DE,NA,NA,NA
348,DEHOGA Baden-Württemberg,0,NA,1,DE,NA,NA,NA
349,Universität Genua,0,NA,4,IT,NA,NA,NA
350,Fresenius Medical Care,0,1996,1,DE,NA,NA,NA
351,MagForce Ag,0,1997,1,DE,NA,NA,NA
352,Mageba Group,0,1963,1,DE,NA,NA,NA
353,Donau-Universität Krems,0,NA,4,AT,NA,NA,NA
354,Oppenhoff,0,NA,1,DE,NA,NA,NA
355,Hapro Electronics AS,0,NA,1,NO,NA,NA,NA
356,Christian Karde,1,1968,3,NO,Rechtswissenschaften,2,NA
357,Harvard Law School,0,NA,4,GB,NA,NA,NA
358,Universitetet i Tromsø,0,NA,4,NO,NA,NA,NA
359,Advokatfirmaet Selmer DA,0,NA,1,NO,NA,NA,NA
360,Max-Planck-Institut Stuttgart,0,NA,8,DE,NA,NA,NA
361,Ekornes AS,0,NA,1,NO,NA,NA,NA
362,Viken Skog SA,0,NA,1,NO,NA,NA,NA
363,Eivind Reiten,1,1954,6,NO,"Ingenieurwesen,Wirtschaftswissenschaften",2,NA
364,Anne-Grete Strøm-Erichsen,2,1951,6,NO,NA,2,NA
365,Universität St. Gallen,0,NA,4,CH,NA,NA,NA
366,Merete Hverven,2,1978,6,NO,Finanzen,2,NA
367,Università del Salento,0,NA,4,IT,NA,NA,NA
368,Virginia Commonwealth University,0,NA,4,US,NA,NA,NA
369,University of Tokyo,0,NA,4,JP,NA,NA,NA
370,National Nanotechnology Laboratory,0,NA,1,IT,NA,NA,NA
371,Istituto Italiano di Tecnologia,0,NA,8,IT,NA,NA,NA
372,Michael Schoellhorn,1,NA,3,DE,Ingenieurwesen,3,NA
373,Bundesverband der Deutschen Luft- und Raumfahrtindustrie e.V.,0,NA,7,DE,NA,NA,NA
374,Helmut-Schmidt-Universität,0,NA,4,DE,NA,NA,NA
375,Markus Diehl,1,NA,6,DE,NA,NA,NA
376,Werner Diehl,1,1946,6,DE,NA,NA,NA
377,Konstantin Diehl,1,NA,6,DE,NA,NA,NA
378,Klaus Helmrich,1,1958,6,DE,NA,2,NA
379,Frank Felix Werdin,1,1981,6,DE,NA,2,NA
380,Karl-Diehl-Stiftung,0,1987,8,DE,NA,NA,NA
381,Siemens AG,0,1847,1,DE,NA,NA,NA
382,Universität Mannheim,0,1967,4,DE,NA,NA,NA
383,Essec business school,1,1907,4,FR,NA,NA,NA
384,Jens Böhlke,1,1968,3,DE,Rechtswissenschaften,2,NA
385,Christof Bosbach,1,NA,3,DE,"Betriebswirtschaftslehre,Ingenieurwesen",3,NA
386,Dieter Landgraf,1,NA,3,DE,NA,NA,NA
387,Jürgen Reimer,1,1970,3,DE,NA,2,NA
388,Helmut Rauch,1,NA,3,DE,NA,NA,NA
389,Jörg Schuler,1,NA,3,DE,Ingenieurwesen,3,NA
390,Carsten Wolff,1,1972,3,DE,Wirtschaftswissenschaften,2,NA
391,Elisabeth Hauschild,2,NA,3,DE,NA,3,NA
392,Bernd Joeris,1,1963,3,DE,Rechtswissenschaften,2,NA
393,Michael Prymelski,1,NA,3,DE,NA,NA,NA
394,Miguel Ángel López Borrego,1,NA,3,DE,NA,NA,NA
395,Volkmar Dinstuhl,1,NA,3,DE,NA,3,NA
396,Ilse Henne,2,NA,3,DE,NA,NA,NA
397,RWTH Aachen,0,1870,4,DE,NA,NA,NA
398,Imperial College London,0,1907,4,GB,NA,NA,NA
399,Massachusetts Institute of Technology,0,1861,4,US,NA,NA,NA
400,Collège des Ingénieurs,0,1986,4,FR,NA,NA,NA
401,Schott AG,0,NA,1,DE,NA,NA,NA
402,Peter Kameritsch,2,1969,3,DE,NA,NA,NA
403,Silke Maurer,2,1967,3,DE,NA,3,NA
404,Dominique Guillet,1,1960,6,FR,NA,NA,NA
405,BSH Home Appliances,0,NA,1,DE,NA,NA,NA
406,Regina Engelstädter,2,NA,6,DE,Rechtswissenschaften,2,NA
407,Technische Universität Chemnitz,0,NA,4,DE,NA,NA,NA
408,Michael Schreyögg,2,1966,3,DE,NA,NA,NA
409,Hochschule für angewandte Wissenschaften Kempten,0,NA,4,DE,NA,NA,NA
410,Gordon Riske,2,1957,6,"US, DE",NA,NA,NA
411,DeVlieg Machine Company,0,NA,1,US,NA,NA,NA
412,KUKA Roboter GmbH,0,NA,1,DE,NA,NA,NA
413,Deutz AG,0,NA,1,DE,NA,NA,NA
414,KION GROUP AG,0,NA,1,DE,NA,NA,NA
